itching,Ndal_skin_eruptions,continuous_sneezing,shivering,joint_pain,stomach_pain,ulcers_on_tongue,muscle_wasting,vomiting,burning_micturition,spotting_ urination,fatigue,anxiety,cough,high_fever,progNsis,Description,treatment
yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Fungal infection,In humans fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. There are also some fungi that live naturally in the human body. Like many microbes there are helpful fungi and harmful fungi.,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.
