prognosis,treatment,status
Fungal infection,Antifungal medicines are used to treat fungal infections which most commonly affect your skin hair and nails.,Available
Allergy,Most minor allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. Immunotherapy is a long-term treatment option for chronic allergy symptoms,Available
Drug Reaction,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intravenously) Epinephrine by injection to treat anaphylaxis.,Available
Peptic ulcer diseae,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.,Available
AIDS,There's currently no cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life,Available
Diabetes ,Metformin is a tried and tested medicine that has been used for many decades to treat type 2 diabetes and is recommended by most experts as first-line therapy.,Available
Migraine, In small amounts  caffeine alone can relieve migraine pain in the early stages or enhance the pain-reducing effects of acetaminophen (Tylenol  others) and aspirin.,Available
Paralysis (brain hemorrhage),Surgery may be necessary to treat a severe brain hemorrhage. Surgeons may operate to relieve some of the pressure on the brain.,Available
Dengue,There is no specific treatment for dengue fever. Fever reducers and pain killers can be taken to control the symptoms of muscle aches and pains  and fever. The best options to treat these symptoms are acetaminophen or paracetamol.,Available
Hepatitis C,Antiviral medications  Liver transplantation Vaccinations,Available
Hepatitis E,Hepatitis E usually resolves on its own without treatment. There is no specific antiviral therapy for acute hepatitis E. Physicians should offer supportive therapy.,Available
Hyperthyroidism,Radioactive iodine Anti-thyroid medications Beta blockers Surgery (thyroidectomy),Available
Osteoarthristis,Medications that can help relieve osteoarthritis symptoms  primarily pain  include: Acetaminophen Nonsteroidal anti-inflammatory drugs (NSAIDs)  Duloxetine (Cymbalta),Available
Acne,The most common topical prescription medications for acne are: Retinoids and retinoid-like drugs Antibiotics Azelaic acid and salicylic acid  Dapsone.,Available
Urinary tract infection,Antibiotics usually are the first line treatment for urinary tract infections. Which drugs are prescribed and for how long depend on your health condition and the type of bacteria found in your urine.,Available
